animation_index,animation_name,symbol_count,symbols,scene_match_count,scene_matches,meaningful_scene_matches,seq_data_size
48,OutPatrol9_special,3,NA | OutPatrol9_special | seq_0,0,,,40
49,OutPatrol9_start,16,NA | OutPatrol9_start | startup | comerunning | on_aware0 | outhouse2 | Snow2_valve_alive | converse2 | on_aware1 | on_aware2 | Out9 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,1,outhouse2,outhouse2,3224
50,Snowrider2_special,3,NA | Snowrider2_special | seq_0,0,,,40
51,Snowrider2_start,11,NA | Snowrider2_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,852
52,LeaderBud1_special,3,NA | LeaderBud1_special | seq_0,0,,,40
53,LeaderBud1_start,11,NA | LeaderBud1_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,780
54,Help1_special,3,NA | Help1_special | seq_0,0,,,40
55,Help1_start,11,NA | Help1_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1080
56,Help2_special,3,NA | Help2_special | seq_0,0,,,40
57,Help2_start,12,NA | Help2_start | startup | on_aware0 | Help2Pos | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1128
58,Alarm1_special,3,NA | Alarm1_special | seq_0,0,,,40
59,Alarm1_start,12,NA | Alarm1_start | startup | on_aware0 | Alarm1 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1496
60,Alarm3_special,3,NA | Alarm3_special | seq_0,0,,,40
61,Alarm3_start,12,NA | Alarm3_start | startup | on_aware0 | Alarm3 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1544
62,Alarm2_special,3,NA | Alarm2_special | seq_0,0,,,40
63,Alarm2_start,12,NA | Alarm2_start | startup | on_aware0 | Alarm2 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1496
64,Rush1_special,3,NA | Rush1_special | seq_0,0,,,40
65,Rush1_start,11,NA | Rush1_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1064
66,Rush3_special,3,NA | Rush3_special | seq_0,0,,,40
67,Rush3_start,11,NA | Rush3_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1064
68,Rush4_special,3,NA | Rush4_special | seq_0,0,,,40
69,Rush4_start,11,NA | Rush4_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1064
70,Rush5_special,3,NA | Rush5_special | seq_0,0,,,40
71,Rush5_start,11,NA | Rush5_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1064
72,Wait1_special,3,NA | Wait1_special | seq_0,0,,,40
73,Wait1_start,11,NA | Wait1_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1400
74,Wait3_special,3,NA | Wait3_special | seq_0,0,,,40
75,Wait3_start,11,NA | Wait3_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1592
76,Wait2_special,3,NA | Wait2_special | seq_0,0,,,40
77,Wait2_start,11,NA | Wait2_start | startup | on_aware0 | on_aware1 | on_aware2 | on_aware3 | on_aware4 | on_lowhealth | on_noammo | on_corpse,0,,,1400
78,player_special,3,NA | player_special | seq_0,0,,,40
79,objectives,175,NA | objectives | start | ReplayMissionMusic | run/movies/0122.pss | m8bs | CURRENT OBJECTIVE: | INSERT INTO THE MISSION AREA | M08_TCM_02 | M08_HIDE | intelobj | extract | cratecount | POBJ5 | success | player_valve_alive | MISSION FAILURE: | PLAYER DEATH | MUS_PLAYER_DEATH | failure | nodocs | DOCUMENTS DESTROYED | aiteam_01 | SNDGROUP_HQ_DEAD_TEAM | YOUR SEAL TEAM HAS BEEN INCAPACITATED | Insert | OBJECTIVE COMPLETED: | INSERTION ACHIEVED | POBJ4 | MUS_OBJ_COMPLETE | m8tut2 | MUS_ALASKA | POBJ1 | SECURE THE TERRORIST'S LAPTOP COMPUTER | Sentry | OutPatrol4_valve_alive | SENTRY NEUTRALIZED | SOBJ1 | Ambush_cover | SOBJ10Fail | BRAVO MOVED TO CHARLIE | SOBJ10 | M08_GOTO_TACMAP | M08_NAV_POINTS | Player_Ambush | M08_KILL_SENTRY | Hostagewarn | aiteam_04 | Snow3_valve_alive | POBJ3 | CAPTURE TERRORIST FOR QUESTIONING | Computer | INTEL RECOVERED | SND_VM08_78 | SECURE COMPOUND | run/movies/m8/pincushn.pss | SnowMob1 | Crates | THIRD SUPPLY CACHE DESTROYED | SUPPLIES DESTROYED | POBJ2 | SECURE PINCUSHION | Crate1 | SND_VM08_73 | FIRST SUPPLY CACHE DESTROYED | comerunning | Spotted | Crate2 | SND_VM08_74 | SECOND SUPPLY CACHE DESTROYED | Compound | SOBJ2 | SOBJ3 | SOBJ4 | COMPOUND SECURE | SND_VM08_54 | DESTROY SUPPLY CACHES | LodgePrompt | aiteam_11 | M08_GUARDS_KILLED | SND_VM08_75 | Lodge | LODGE SECURE | SnowPrompt | Snow1_valve_alive | Snow2_valve_alive | SND_VM08_76A | Snow | MINING HOUSE SECURE | Cabin | CabinBreech | BRAVO CLEARED CABIN | Cabin2Prompt | Cabin2 | Shed1_valve_alive | SND_VM08_77 | CABIN SECURE | Hutchins_killed | Hutchins_valve_alive | MUS_BUDDY_DEATH | SND_VOC_B09 | Bailey_killed | Bailey_valve_alive | DiMone_killed | DiMone_valve_alive | Bravo_cover | SOBJ9Fail | BRAVO COVERING DREDGE ENTRY | SOBJ9 | M08_TCM_01 | RestrainKola | PINCUSHION SECURED | hostage | SND_VM08_66 | SND_VM08_53 | ESCORT PINCUSHION TO THE EXTRACTION ZONE | M08_RADAR_01 | Extract | run/movies/m8/extract.pss | SOBJ6 | extractsync | TERRORIST EXTRACTED | Bonus | Shed2_valve_alive | outhouse1 | OUTHOUSE AMBUSH SUCCESSFUL | Sleeper1 | Sleeper2 | shedwindow | Sleeper3 | lodgewindow | M08_CREEPING | MUS_AK_STEALTH_02 | Sleeper4 | snowwindow | MUS_AK_STEALTH_03 | Sleeper5 | MUS_M8_CAMP | M08_DREDGE_ARRIVAL | NEW OBJECTIVE: | BRAVO COVER DREDGE ENTRY AT ZULU | SOBJ9Display | Sleeper6 | Sleeper7 | Sleeper8 | MUS_AMBUSH | Sleeper9 | SpotKola | M08_HELLO_PINCUSHION | KillKola | PINCUSHION KILLED | SND_VM08_57 | Out1 | out_count | SnowMob2 | MidTop | run/movies/m8/sriders.pss | Timer | TimerNull | M08_DATA_DESTRUCTION | TimerRun | LeadTimer | Leader_valve_alive | Leader_valve_aware | PopupTimers | M08_STANCE_01 | M08_RADAR_02 | M08_STANCE_02 | M08_USING_GRASS | M08_HEY_TACMAP | HELP_OFF | nofade | run/movies/0123.pss | mission_complete | mission_failure,1,outhouse1,outhouse1,10276
80,deactivate_copter,4,NA | deactivate_copter | m8copter | fadetoblack,0,,,44
81,m8extract,20,NA | m8extract | m8copter | SND_STREAM_AF1 | tweakparticle | coptersounds | turn_main_rotor | turn_tail_rotor | copter | camera | mission_complete | e1 | do_fadetoblack | SND_AM01_CHOPPER_ENGINE_LOOP | SND_AM01_CHOPPER_CHOP_LOOP | mainrotor | tailrotor | snoblo | effect_dustpuff01.tif | cloudpuff01.tif,0,,,1936
82,do_fadetoblack,4,NA | do_fadetoblack | fadetoblack | camera,0,,,160
83,m8objsetup,3,NA | m8objsetup | arrow1,1,arrow1,arrow1,36
84,m8obj1,6,NA | m8obj1 | outdoor_clip | camera | drop_arrow | arrow1,2,drop_arrow | arrow1,drop_arrow | arrow1,600
85,m8obj2,6,NA | m8obj2 | outdoor_clip | drop_arrow | camera | arrow1,2,drop_arrow | arrow1,drop_arrow | arrow1,444
86,m8obj3,4,NA | m8obj3 | outdoor_clip | camera,0,,,344
87,m8obj4,5,NA | m8obj4 | outdoor_clip | snow_falling | camera,0,,,388
88,m8obj5,4,NA | m8obj5 | outdoor_clip | camera,0,,,344
89,m8obj6,6,NA | m8obj6 | outdoor_clip | drop_arrow | camera | arrow1,2,drop_arrow | arrow1,drop_arrow | arrow1,448
90,m8obj7a,4,NA | m8obj7a | outdoor_clip | camera,0,,,600
91,m8obj8,4,NA | m8obj8 | outdoor_clip | camera,0,,,356
92,m8obj9,4,NA | m8obj9 | outdoor_clip | camera,0,,,356
93,m8obj10,4,NA | m8obj10 | outdoor_clip | camera,0,,,356
94,m8obj11,6,NA | m8obj11 | outdoor_clip | Snow3 | snow_falling | camera,0,,,480
95,m8obj13,6,NA | m8obj13 | outdoor_clip | drop_arrow | camera | arrow1,2,drop_arrow | arrow1,drop_arrow | arrow1,456
96,m8obj14,4,NA | m8obj14 | outdoor_clip | camera,0,,,752
97,arrow1,3,NA | arrow1 | drop_arrow,2,arrow1 | drop_arrow,arrow1 | drop_arrow,452
98,action_reset,20,NA | action_reset | door_outhouse1 | door_outhouse2 | door_depot01 | door_tri01 | door_tri02 | door_tri03 | door_dredge01 | door_dredge02 | door_dredge03 | door_outbuild01 | door_shack | laptopscreen | alaska4d_computer | computer_action | screenglow | screensaver | alarm_action_plate | gen_fiddle_switch,18,door_outhouse1 | door_outhouse2 | door_depot01 | door_tri01 | door_tri02 | door_tri03 | door_dredge01 | door_dredge02 | door_dredge03 | door_outbuild01 | door_shack | laptopscreen | alaska4d_computer | computer_action | screenglow | screensaver | alarm_action_plate | gen_fiddle_switch,door_outhouse1 | door_outhouse2 | door_depot01 | door_tri01 | door_tri02 | door_tri03 | door_dredge01 | door_dredge02 | door_dredge03 | door_outbuild01 | door_shack | laptopscreen | alaska4d_computer | computer_action | screenglow | screensaver | alarm_action_plate | gen_fiddle_switch,36
99,m8tutsetup,3,NA | m8tutsetup | camcover,0,,,36
100,m8bs,8,NA | m8bs | outdoor_clip | MUS_M8 | SND_VOC_B06 | SND_VM08_12 | SND_VM08_01 | camera,0,,,836
101,m8tut2,4,NA | m8tut2 | SND_TC8_02 | camera,0,,,628
102,m8tut3,5,NA | m8tut3 | snow_falling | SND_TC8_03 | camera,0,,,416
103,m8tut4,7,NA | m8tut4 | snow_falling | Snow3 | tutpincusion_on | SND_TC8_04 | camera,0,,,628
104,m8tut5,4,NA | m8tut5 | SND_TC8_05 | camera,0,,,500
105,Patrol_guns,3,NA | Patrol_guns | seq_70,0,,,296
106,Inside_guns,3,NA | Inside_guns | seq_100,0,,,276
107,Close_call,3,NA | Close_call | shout,0,,,152
108,Close_call2,3,NA | Close_call2 | shout2,0,,,152
109,Spot_shout,3,NA | Spot_shout | shout,0,,,176
110,Spot_shout2,3,NA | Spot_shout2 | shout2,0,,,176
111,Leader_shout,3,NA | Leader_shout | shout,0,,,176
112,Patrol_banter,3,NA | Patrol_banter | banter,0,,,140
113,Patrol_banter2,3,NA | Patrol_banter2 | banter,0,,,140
114,Inside_banter,3,NA | Inside_banter | banter,0,,,188
115,Inside_banter2,3,NA | Inside_banter2 | banter2,0,,,140
116,Inside_banter3,3,NA | Inside_banter3 | banter3,0,,,140
117,Leader_banter,3,NA | Leader_banter | banter,0,,,188
118,Dredge_banter,3,NA | Dredge_banter | banter,0,,,188
119,Snow_banter,3,NA | Snow_banter | banter,0,,,140
120,Crapper_banter,3,NA | Crapper_banter | banter,0,,,164
121,Battle_cry,3,NA | Battle_cry | yell,0,,,200
122,Battle_cry2,3,NA | Battle_cry2 | yell,0,,,200
123,snd_wind_outside,5,NA | snd_wind_outside | SND_CROW_SQUAK | SND_WOLFHOWL | SND_OUTDOOR_AMBIENCE_LOOP,0,,,536
124,snd_wind_inside,3,NA | snd_wind_inside | SND_OUTDOOR_AMBIENCE_LOOP,0,,,96
125,check_camera_inside_state,5,NA | check_camera_inside_state | snd_wind_outside | windblowing | snd_wind_inside,0,,,248
126,snow_falling,10,NA | snow_falling | snow_flakes | camera | effect_snow.tif | effect_snow02.tif | effect_snow03.tif | effect_snow04.tif | effect_snow05.tif | indoor_outdoor,0,,,1160
127,outdoor_clip,11,NA | outdoor_clip | clip_out | lodLevel | clip_fast | clip_medfast | clip_med | clip_slow | clip_realslow | stop_all | camera,0,,,1096
128,zoom_control,3,NA | zoom_control | outdoor_clip,0,,,168
129,cold_breath,7,NA | dummy_node | cold_breath | breath | cold_breath_p | head | cloudpuff01.tif,0,,,760
130,GetDocs,11,NA | GetDocs | seq_0 | open | screenglow | screensaver | screensaveron | laptopscreen | SND_PICK_UP_ITEM | alaska4d_computer | computer_action,5,screenglow | screensaver | laptopscreen | alaska4d_computer | computer_action,screenglow | screensaver | laptopscreen | alaska4d_computer | computer_action,532
131,screensaveron,4,NA | alaska4d_computer | screensaveron | screensaver,2,alaska4d_computer | screensaver,alaska4d_computer | screensaver,812
132,blowDoor,16,NA | doorhit | blowDoor | doordi | turnitoff | detail | doorbits | doorbreak | doorbit1 | doorbit2 | doorbit3 | doorbit4 | doorbit5 | doorbit6 | doorbit7 | doorbit8,12,doorhit | doordi | detail | doorbits | doorbit1 | doorbit2 | doorbit3 | doorbit4 | doorbit5 | doorbit6 | doorbit7 | doorbit8,doorhit | doordi | doorbits | doorbit1 | doorbit2 | doorbit3 | doorbit4 | doorbit5 | doorbit6 | doorbit7 | doorbit8,264
133,doorbreak,4,NA | doorbreak | doorbits | m8,1,doorbits,doorbits,328
134,singleDoor,7,NA | singleDoor | seq_0 | open | close | SND_DOOR_OPEN | SND_DOOR_CLOSE,0,,,836
135,kick_singleDoor,5,NA | kick_singleDoor | seq_0 | open | SND_WOODEN_DOOR_KICKED_OPEN,0,,,456
136,depot_window01,5,NA | depot_window01 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | lodgewindow,1,depot_window01,depot_window01,164
137,depot_window02,5,NA | depot_window02 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | lodgewindow,1,depot_window02,depot_window02,164
138,depot_window03,5,NA | depot_window03 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | lodgewindow,1,depot_window03,depot_window03,164
139,depot_window04,5,NA | depot_window04 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | lodgewindow,1,depot_window04,depot_window04,164
140,tri_window01,5,NA | tri_window01 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | snowwindow,1,tri_window01,tri_window01,164
141,tri_window02,5,NA | tri_window02 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | snowwindow,1,tri_window02,tri_window02,164
142,tri_window03,5,NA | tri_window03 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | snowwindow,1,tri_window03,tri_window03,164
143,dredge_window01,4,NA | dredge_window01 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif,1,dredge_window01,dredge_window01,148
144,dredge_window02,4,NA | dredge_window02 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif,1,dredge_window02,dredge_window02,148
145,out2_window01,5,NA | out2_window01 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | shedwindow,1,out2_window01,out2_window01,164
146,out2_window02,5,NA | out2_window02 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | shedwindow,1,out2_window02,out2_window02,164
147,out2_window03,5,NA | out2_window03 | SND_GLASS_BREAK_MEDIUM | alaska4d_window01.tif | shedwindow,1,out2_window03,out2_window03,164
148,alaska4d_beer,4,NA | alaska4d_beer | SND_BULLET_PLATE | alaska4d_bottle01.tif,1,alaska4d_beer,alaska4d_beer,148
149,alaska4d_plate,3,NA | alaska4d_plate | SND_BULLET_PLATE,1,alaska4d_plate,alaska4d_plate,228
150,alaska4d_foamcup,3,NA | alaska4d_foamcup | SND_BULLET_PLATE,1,alaska4d_foamcup,alaska4d_foamcup,228
151,flame_in_barrel,10,NA | barrel_fire1 | flame_in_barrel | SND_SMALL_FIRE_LOOP | main_barrel_fire | fire_hardedge.tif | barrel_fire_a_lapping1 | barrel_sparks | cloudpuff01.tif | fire_smoker1,1,barrel_fire1,barrel_fire1,1536
152,barrel_dest,7,NA | barrel1 | barrel_dest | flame_in_barrel | bchunk1_fly | bchunk2_fly | bchunk3_fly,1,barrel1,barrel1,308
153,bchunk1_fly,5,NA | bchunk1 | bchunk1_fly | bchunk1_fire | fire_hardedge.tif,1,bchunk1,bchunk1,592
154,bchunk2_fly,5,NA | bchunk2 | bchunk2_fly | bchunk2_fire | fire_hardedge.tif,1,bchunk2,bchunk2,592
155,bchunk3_fly,5,NA | bchunk3 | bchunk3_fly | bchunk3_fire | fire_hardedge.tif,1,bchunk3,bchunk3,592
156,crate_lightwood01,10,NA | crate_lightwood01 | crate_good | crate_parts | crate_part_fly01 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood01 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood01 | crate_good | crate_parts,164
157,crate_lightwood02,10,NA | crate_lightwood02 | crate_good | crate_parts | crate_part_fly02 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood02 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood02 | crate_good | crate_parts,164
158,crate_lightwood03,10,NA | crate_lightwood03 | crate_good | crate_parts | crate_part_fly03 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood03 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood03 | crate_good | crate_parts,164
159,crate_lightwood07,10,NA | crate_lightwood07 | crate_good | crate_parts | crate_part_fly07 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood07 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood07 | crate_good | crate_parts,164
160,crate_lightwood12,10,NA | crate_lightwood12 | crate_good | crate_parts | crate_part_fly12 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood12 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood12 | crate_good | crate_parts,164
161,crate_lightwood13,10,NA | crate_lightwood13 | crate_good | crate_parts | crate_part_fly13 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood13 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood13 | crate_good | crate_parts,164
162,crate_lightwood14,10,NA | crate_lightwood14 | crate_good | crate_parts | crate_part_fly14 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood14 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood14 | crate_good | crate_parts,164
163,crate_lightwood20,10,NA | crate_lightwood20 | crate_good | crate_parts | crate_part_fly20 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood20 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood20 | crate_good | crate_parts,164
164,crate_lightwood23,10,NA | crate_lightwood23 | crate_good | crate_parts | crate_part_fly23 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood23 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood23 | crate_good | crate_parts,164
165,crate_lightwood24,10,NA | crate_lightwood24 | crate_good | crate_parts | crate_part_fly24 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood24 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood24 | crate_good | crate_parts,164
166,crate_lightwood26,10,NA | crate_lightwood26 | crate_good | crate_parts | crate_part_fly26 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood26 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood26 | crate_good | crate_parts,164
167,crate_lightwood28,10,NA | crate_lightwood28 | crate_good | crate_parts | crate_part_fly28 | part1 | part2 | part3 | part4 | part5,8,crate_lightwood28 | crate_good | crate_parts | part1 | part2 | part3 | part4 | part5,crate_lightwood28 | crate_good | crate_parts,164
