animation_name,block_index,block_offset,block_size,command_index,command_offset_in_block,raw_opcode,command_id,command_name,opcode_high_flags,meta,record_size
OutPatrol1_start,3,0x418,732,5,0xA8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,6,0xBC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,7,0xD0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,8,0xE4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,9,0xF8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,10,0x10C,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol1_start,3,0x418,732,11,0x11C,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol1_start,3,0x418,732,12,0x12C,0x0004,4,ELSE,0x0000,0x0022,8
OutPatrol1_start,3,0x418,732,13,0x134,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol1_start,3,0x418,732,14,0x13C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,15,0x150,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,16,0x164,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,17,0x178,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,18,0x18C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,19,0x1A0,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,20,0x1B4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,21,0x1C8,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,22,0x1DC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,23,0x1F0,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,24,0x204,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,25,0x218,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,26,0x22C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,27,0x240,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,28,0x254,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,29,0x268,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,30,0x27C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,31,0x290,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,32,0x2A4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,33,0x2B8,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol1_start,3,0x418,732,34,0x2CC,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol1_start,3,0x418,732,35,0x2D4,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol1_start,4,0x6F4,264,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,4,0x6F4,264,1,0x40,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol1_start,4,0x6F4,264,2,0x60,0x0002,2,IF,0x0000,0x0042,16
OutPatrol1_start,4,0x6F4,264,3,0x70,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,4,0x6F4,264,4,0x88,0x0212,18,OBJECT_ROTATE_STATE,0x0200,0x0030,12
OutPatrol1_start,4,0x6F4,264,5,0x94,0x0003,3,ELSEIF,0x0000,0x0042,16
OutPatrol1_start,4,0x6F4,264,6,0xA4,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,4,0x6F4,264,7,0xBC,0x0212,18,OBJECT_ROTATE_STATE,0x0200,0x0030,12
OutPatrol1_start,4,0x6F4,264,8,0xC8,0x0004,4,ELSE,0x0000,0x0022,8
OutPatrol1_start,4,0x6F4,264,9,0xD0,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,4,0x6F4,264,10,0xE8,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol1_start,4,0x6F4,264,11,0xF0,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,5,0x7FC,296,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,5,0x7FC,296,1,0x40,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol1_start,5,0x7FC,296,2,0x60,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol1_start,5,0x7FC,296,3,0x80,0x0002,2,IF,0x0000,0x0042,16
OutPatrol1_start,5,0x7FC,296,4,0x90,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,5,0x7FC,296,5,0xA8,0x0212,18,OBJECT_ROTATE_STATE,0x0200,0x0030,12
OutPatrol1_start,5,0x7FC,296,6,0xB4,0x0003,3,ELSEIF,0x0000,0x0042,16
OutPatrol1_start,5,0x7FC,296,7,0xC4,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,5,0x7FC,296,8,0xDC,0x0212,18,OBJECT_ROTATE_STATE,0x0200,0x0030,12
OutPatrol1_start,5,0x7FC,296,9,0xE8,0x0004,4,ELSE,0x0000,0x0022,8
OutPatrol1_start,5,0x7FC,296,10,0xF0,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,5,0x7FC,296,11,0x108,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol1_start,5,0x7FC,296,12,0x110,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,6,0x924,68,0,0x1C,0x0203,3,ELSEIF,0x0200,0x00A0,40
OutPatrol1_start,7,0x968,88,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,7,0x968,88,1,0x40,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol1_start,8,0x9C0,104,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol1_start,8,0x9C0,104,1,0x40,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol2_special,0,0x0,40,0,0x1C,0x021E,30,END_WHILE,0x0200,0x0030,12
OutPatrol2_start,0,0x0,136,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0080,32
OutPatrol2_start,0,0x0,136,1,0x3C,0x001C,28,LIGHT,0x0000,0x0082,32
OutPatrol2_start,0,0x0,136,2,0x5C,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol2_start,0,0x0,136,3,0x64,0x0211,17,OBJECT_TRANSLATE_STATE,0x0200,0x0050,20
OutPatrol2_start,0,0x0,136,4,0x78,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol2_start,0,0x0,136,5,0x80,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol2_start,1,0x88,564,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,1,0x88,564,1,0x40,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol2_start,1,0x88,564,2,0x48,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,3,0x5C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,4,0x70,0x0001,1,QUAD_ALIGN,0x0000,0x0020,8
OutPatrol2_start,1,0x88,564,5,0x78,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol2_start,1,0x88,564,6,0xA0,0x020D,13,LOOP,0x0200,0x0090,36
OutPatrol2_start,1,0x88,564,7,0xC4,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,8,0xD8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,9,0xEC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,10,0x100,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,11,0x114,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,12,0x128,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,13,0x13C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,14,0x150,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,15,0x164,0x0001,1,QUAD_ALIGN,0x0000,0x0010,4
OutPatrol2_start,1,0x88,564,16,0x168,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol2_start,1,0x88,564,17,0x190,0x020D,13,LOOP,0x0200,0x0090,36
OutPatrol2_start,1,0x88,564,18,0x1B4,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,19,0x1C8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,20,0x1DC,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,21,0x1F0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,22,0x204,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,23,0x218,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol2_start,1,0x88,564,24,0x22C,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol2_start,2,0x2BC,96,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,2,0x2BC,96,1,0x40,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol2_start,3,0x31C,424,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,3,0x31C,424,1,0x40,0x000E,14,WAIT,0x0000,0x0030,12
OutPatrol2_start,3,0x31C,424,2,0x4C,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol2_start,3,0x31C,424,3,0x6C,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol2_start,3,0x31C,424,4,0x7C,0x0002,2,IF,0x0000,0x00C2,48
OutPatrol2_start,3,0x31C,424,5,0xAC,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol2_start,3,0x31C,424,6,0xBC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,7,0xD0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,8,0xE4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,9,0xF8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,10,0x10C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,11,0x120,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,12,0x134,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,3,0x31C,424,13,0x148,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol2_start,3,0x31C,424,14,0x158,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol2_start,3,0x31C,424,15,0x168,0x0004,4,ELSE,0x0000,0x0022,8
OutPatrol2_start,3,0x31C,424,16,0x170,0x021C,28,LIGHT,0x0200,0x00C0,48
OutPatrol2_start,3,0x31C,424,17,0x1A0,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol2_start,4,0x4C4,424,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,4,0x4C4,424,1,0x40,0x000E,14,WAIT,0x0000,0x0030,12
OutPatrol2_start,4,0x4C4,424,2,0x4C,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol2_start,4,0x4C4,424,3,0x6C,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol2_start,4,0x4C4,424,4,0x7C,0x0002,2,IF,0x0000,0x00C2,48
OutPatrol2_start,4,0x4C4,424,5,0xAC,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol2_start,4,0x4C4,424,6,0xBC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,7,0xD0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,8,0xE4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,9,0xF8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,10,0x10C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,11,0x120,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,12,0x134,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol2_start,4,0x4C4,424,13,0x148,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol2_start,4,0x4C4,424,14,0x158,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol2_start,4,0x4C4,424,15,0x168,0x0004,4,ELSE,0x0000,0x0022,8
OutPatrol2_start,4,0x4C4,424,16,0x170,0x021C,28,LIGHT,0x0200,0x00C0,48
OutPatrol2_start,4,0x4C4,424,17,0x1A0,0x0005,5,ENDIF,0x0000,0x0022,8
OutPatrol2_start,5,0x66C,180,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,5,0x66C,180,1,0x40,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol2_start,5,0x66C,180,2,0x58,0x000E,14,WAIT,0x0000,0x0030,12
OutPatrol2_start,5,0x66C,180,3,0x64,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol2_start,5,0x66C,180,4,0x84,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol2_start,5,0x66C,180,5,0x94,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol2_start,6,0x720,68,0,0x1C,0x0203,3,ELSEIF,0x0200,0x00A0,40
OutPatrol2_start,7,0x764,88,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,7,0x764,88,1,0x40,0x021B,27,SOUND,0x0200,0x0060,24
OutPatrol2_start,8,0x7BC,108,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol2_start,8,0x7BC,108,1,0x40,0x0001,1,QUAD_ALIGN,0x0000,0x0010,4
OutPatrol2_start,8,0x7BC,108,2,0x44,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol3_special,0,0x0,40,0,0x1C,0x021E,30,END_WHILE,0x0200,0x0030,12
OutPatrol3_start,0,0x0,136,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0080,32
OutPatrol3_start,0,0x0,136,1,0x3C,0x001C,28,LIGHT,0x0000,0x0082,32
OutPatrol3_start,0,0x0,136,2,0x5C,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol3_start,0,0x0,136,3,0x64,0x0211,17,OBJECT_TRANSLATE_STATE,0x0200,0x0050,20
OutPatrol3_start,0,0x0,136,4,0x78,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol3_start,0,0x0,136,5,0x80,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol3_start,1,0x88,1080,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol3_start,1,0x88,1080,1,0x40,0x001C,28,LIGHT,0x0000,0x0022,8
OutPatrol3_start,1,0x88,1080,2,0x48,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,3,0x5C,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,4,0x8C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,5,0xA0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,6,0xB4,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,7,0xE4,0x0001,1,QUAD_ALIGN,0x0000,0x0010,4
OutPatrol3_start,1,0x88,1080,8,0xE8,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol3_start,1,0x88,1080,9,0x110,0x020D,13,LOOP,0x0200,0x0090,36
OutPatrol3_start,1,0x88,1080,10,0x134,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,11,0x148,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,12,0x15C,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,13,0x18C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,14,0x1A0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,15,0x1B4,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,16,0x1E4,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,17,0x1F8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,18,0x20C,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,19,0x23C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,20,0x250,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,21,0x264,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,22,0x294,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,23,0x2A8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,24,0x2BC,0x0001,1,QUAD_ALIGN,0x0000,0x0030,12
OutPatrol3_start,1,0x88,1080,25,0x2C8,0x0213,19,OBJECT_MOTION,0x0200,0x00A1,40
OutPatrol3_start,1,0x88,1080,26,0x2F0,0x020D,13,LOOP,0x0200,0x0090,36
OutPatrol3_start,1,0x88,1080,27,0x314,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,28,0x328,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,29,0x33C,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,30,0x36C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,31,0x380,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,32,0x394,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,33,0x3C4,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,34,0x3D8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,35,0x3EC,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,1,0x88,1080,36,0x41C,0x0209,9,RANDOM_WEIGHT,0x0200,0x0050,20
OutPatrol3_start,1,0x88,1080,37,0x430,0x001D,29,WHILE,0x0000,0x0022,8
OutPatrol3_start,2,0x4C0,96,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol3_start,2,0x4C0,96,1,0x40,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol3_start,3,0x520,724,0,0x1C,0x0203,3,ELSEIF,0x0200,0x0090,36
OutPatrol3_start,3,0x520,724,1,0x40,0x000E,14,WAIT,0x0000,0x0030,12
OutPatrol3_start,3,0x520,724,2,0x4C,0x020D,13,LOOP,0x0200,0x0080,32
OutPatrol3_start,3,0x520,724,3,0x6C,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol3_start,3,0x520,724,4,0x7C,0x0002,2,IF,0x0000,0x00C2,48
OutPatrol3_start,3,0x520,724,5,0xAC,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol3_start,3,0x520,724,6,0xBC,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,7,0xD0,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,8,0xE4,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,9,0xF8,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,10,0x10C,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,11,0x120,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,12,0x134,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,13,0x148,0x002E,46,TIMER,0x0000,0x0040,16
OutPatrol3_start,3,0x520,724,14,0x158,0x0219,25,CAMERA,0x0200,0x0040,16
OutPatrol3_start,3,0x520,724,15,0x168,0x0003,3,ELSEIF,0x0000,0x0062,24
OutPatrol3_start,3,0x520,724,16,0x180,0x0208,8,RANGE_TEST,0x0200,0x0050,20
OutPatrol3_start,3,0x520,724,17,0x194,0x020C,12,ANIM_LOD,0x0200,0x00C0,48
OutPatrol3_start,3,0x520,724,18,0x1C4,0x0202,2,IF,0x0200,0x0040,16
