symbol,start,end,size,confidence,incoming_direct_calls,outgoing_direct_calls,callees,strings,note
mission_state_shutdown,0x001F9780,0x001F9CF0,1392,high,1,88,0x00306330;0x00230CC0;0x001FCA20;0x0017EE40;0x0017E8E0;0x0017E8F0;0x0017E8E0;0x0017F580;0x0020E710;0x00176A10;0x00176A10;0x0017BB00;0x0017EE40;0x0017E8E0;0x0017E8F0;0x0017E8E0;0x0017F580;0x0020EB90;0x00176A10;0x00176A10;0x0017BB00;0x00251550;0x001C5210;0x001C71A0;0x001C6E70;0x001C5210;0x001C71A0;0x001C6E70;0x001C6240;0x001E0AF0;0x00172E10;0x00172E00;0x001E0D30;0x001DB080;0x001E0BA0;0x00307F90;0x00303010;0x00308BE0;0x00307140;0x0024B770;0x0028C6F0;0x00222B40;0x0029E630;0x00276330;0x00337CF0;0x00237A10;0x001FE2D0;0x001F8260;0x00141780;0x002A9DA0;0x002F3410;0x001FEF00;0x001F0A10;0x0024EDD0;0x001FFEA0;0x0017EE50;0x00337660;0x0032CE70;0x002E8B40;0x00201CA0;0x0019D610;0x0030DB30;0x00230E50;0x00230D70;0x0030B410;0x0030B410;0x0030B410;0x0030AF50;0x00429CE0;0x0030A7C0;0x002526C0;0x002526C0;0x002526C0;0x001F3F20;0x002529B0;0x00172E10;0x001DB080;0x0014D9B0;0x00172E10;0x001DB080;0x0014D9B0;0x001F9D50;0x001FD480;0x001F9CF0;0x001FE230;0x0024DEB0;0x00334620;0x003BC790,common | mission | Mission | Update visual effects | diTick,Called from the game-state shutdown callback at 0x00172E3C; clears active mission runtime state.
mission_small_vector_swap,0x001F9CF0,0x001F9D50,96,high,1,1,0x001722D0,,Swaps +4/+8 fields of two small container headers after helper call.
mission_small_vector_init,0x001F9D50,0x001F9D70,32,high,2,0,,,Zeros three 32-bit fields in a small container header.
mission_mount_animation_data,0x001F9D70,0x001F9FA0,560,high,1,23,0x00428FE0;0x001C6230;0x00428FE0;0x001C6230;0x00428FE0;0x001C6230;0x00429B28;0x00428FE0;0x00429B28;0x00428FE0;0x00428FE0;0x001C0F20;0x00428FE0;0x001C0F20;0x00429B28;0x00428FE0;0x00429B28;0x00428FE0;0x00428FE0;0x001C0F20;0x001C3220;0x00428FE0;0x001C3220,data/ | data/common/ | data/%s/ | /run/mp/%s/mzanim.zar | /run/sp/%s/mzanim.zar | /run/%s/mzanim.zar | run/czanim.zar | /run/mp/%s/zanim.zar | /run/sp/%s/zanim.zar | /run/%s/zanim.zar | data/common/czanim.rdr | common | data/%s/zanim.rdr | mission,Mounts common/mission zanim and mzanim archives/RDR data.
mission_state_enter_runtime,0x001F9FA0,0x001FA2A0,768,high,1,38,0x0023F9E0;0x0023F840;0x0030DC50;0x0020E160;0x0030E140;0x0030E140;0x0030E140;0x0030E140;0x0030E140;0x0030E140;0x001FF4F0;0x0019D590;0x001F3F30;0x00337790;0x00276370;0x001FFA40;0x0015A900;0x0024BB80;0x0029FB00;0x001E9E80;0x0017F020;0x002516C0;0x002E6D50;0x001FF1A0;0x0017E8F0;0x0017E8E0;0x001F6A20;0x0017EE40;0x0017E8E0;0x00237C50;0x00200010;0x0023F9E0;0x00202E10;0x002027E0;0x00202E10;0x002027E0;0x00202E10;0x002027E0,readerc.zar | run/ui | mission_complete | mission_failure | mission_abort | mission_timeout | mission_replay | nofade,Called from state transition at 0x0017CC58; creates mission result valves and initializes runtime systems.
mission_runtime_phase_a,0x001FA2A0,0x001FA310,112,medium,1,8,0x001F0A10;0x0017EE50;0x00230E50;0x00230D70;0x00232ED0;0x0030AF50;0x0030A7C0;0x00306790,,State/runtime phase helper; exact original name not yet recovered.
mission_runtime_phase_b,0x001FA310,0x001FA610,768,medium,1,44,0x002526C0;0x002526C0;0x001F3F20;0x0030A7C0;0x00230CC0;0x00230F30;0x0030B410;0x0030AF50;0x00180370;0x0021BDE0;0x0021BE90;0x0029E5E0;0x001E9E40;0x00337660;0x001C5210;0x001C71A0;0x001C6E00;0x001C5210;0x001C71A0;0x001C6E00;0x001C5210;0x001C7340;0x001C5210;0x001C7340;0x002A9DA0;0x002F3410;0x00276330;0x001FEF00;0x001E0AF0;0x00251550;0x002E8B40;0x002B1750;0x00201B90;0x0020E240;0x0030DB30;0x003DB070;0x00202E10;0x00202E10;0x00202E10;0x0023A990;0x00237980;0x00237BA0;0x00249670;0x003114C0,MissionFadeToEnd | common | mission | common | mission,"Large teardown/reset phase; destroys mission arrays, animation sets and many subsystem objects."
mission_activate,0x001FA610,0x001FACB0,1696,high,1,87,0x001D70D0;0x00429B28;0x00429368;0x00429B28;0x00429368;0x00429368;0x0023F6F0;0x0023FA70;0x0017D2F0;0x001FDA10;0x00252A00;0x00429770;0x0030B4F0;0x0030B4F0;0x0030B4F0;0x00305070;0x00304F70;0x00304F70;0x00304F70;0x00304F70;0x00304F70;0x00304BC0;0x00428FE0;0x00304BC0;0x00428FE0;0x00304BC0;0x00428FE0;0x00304BC0;0x00428FE0;0x00304BC0;0x00428FE0;0x00304BC0;0x00304FB0;0x00304FA0;0x00305060;0x00307FF0;0x00222200;0x00222D90;0x00221FA0;0x0030DFC0;0x0030DFC0;0x0030DFC0;0x0030DFC0;0x0030E140;0x0030DFC0;0x001FF4F0;0x00429B28;0x00428FE0;0x00429B28;0x00428FE0;0x00428FE0;0x00198000;0x001FACB0;0x00237DC0;0x001F9D70;0x00242040;0x001F4600;0x00240B20;0x00242040;0x001F4C00;0x00240B20;0x00201710;0x001F7D40;0x003376B0;0x00338930;0x00251F10;0x0029FD60;0x00276370;0x001FFA40;0x0024BB80;0x00337790;0x0015A900;0x0029FD50;0x001E9E80;0x0017F020;0x002516C0;0x002E6D50;0x002E8010;0x001FF1A0;0x0017E8F0;0x0017E8E0;0x001F6A20;0x0017EE40;0x0017E8E0;0x00231E10;0x00231E00;0x001F3F30,run/ | readerm.zar | diTick | Mission | Update visual effects | HUDUI | VOICE | WEAPONS | SMUS | TCM_ECHO | run/sounds.rdr | MULTI | %s_vce | %s_efx | %s_amb | %s_svo | %s_smu | sndjukeboxm.rdr | mission_complete | mission_failure | mission_abort | mission_timeout | mission_replay | nofade | /run/mp/%s/ | /run/sp/%s/ | /run/%s/ | hudobjectives.rdr | missioncams.rdr | actions.rdr | seal_tent | terrorist_tent,Heavy per-mission activation called by state loader at 0x00172EC0 with selected mission name.
mission_load_descriptor,0x001FAE10,0x001FB4F0,1760,high,4,35,0x001FCA20;0x00429770;0x00242040;0x002415B0;0x00429918;0x0014E2B0;0x0014DEE0;0x00241790;0x003BD960;0x003BC3C0;0x003BD810;0x00241790;0x002415B0;0x00241790;0x00241790;0x002413E0;0x0030E140;0x001F94C0;0x00240E50;0x00429CE0;0x00429CE0;0x001FFEA0;0x001FFEE0;0x001FD170;0x001FD2E0;0x001FCE10;0x00241790;0x00241790;0x002414D0;0x00302CC0;0x002414D0;0x00302C90;0x00240B20;0x003BC3C0;0x003BD170,mission.rdr | LoadingScreenAssets | UiVars | Valves | NAME | PERM | PERSIST | VALUE | WEAPON_MODEL_POSTFIX | TacMapZoom | Reverb | Depth | Seconds | DBNAME,"Loads mission.rdr, UiVars, Valves, loading screen data and environment configuration."
mission_construct_global,0x001FB4F0,0x001FB930,1088,high,1,64,0x00220300;0x001C63A0;0x002CFDC0;0x0030FC40;0x001E89E0;0x001ED2D0;0x002003A0;0x00230710;0x001FBCD0;0x001C5A50;0x001C5A50;0x001E0AF0;0x00172E10;0x00172E00;0x001E0D30;0x001DB080;0x001E0BA0;0x0015A8E0;0x0030BBD0;0x001DB760;0x001DB750;0x0023F6F0;0x0023F6F0;0x0023FA70;0x001DB750;0x0030BDA0;0x001DEE90;0x001DEDF0;0x001DED90;0x001DEDE0;0x0028C8A0;0x00305230;0x00141930;0x001F6270;0x00242040;0x00240CB0;0x00240CB0;0x00240B20;0x0030DD70;0x0030DFC0;0x0030DFC0;0x0030DFC0;0x0030DFC0;0x0030DFC0;0x003377D0;0x00242040;0x00242040;0x00242040;0x00242040;0x00242040;0x00242040;0x00242040;0x00242040;0x00237E90;0x0025ED10;0x00141930;0x001A38D0;0x002DE350;0x0024E0B0;0x0020D3C0;0x003C6070;0x003DCFF0;0x00398B10;0x0023F840,START_IMAGE_RECORDER | STOP_IMAGE_RECORDER | fts_mission.cpp | readerc.zar | readerc.zar | run/ui | fts_mission.cpp | hud.rdr | static_radio | dynamic_radio | global_valves.rdr | mission_complete | mission_failure | mission_abort | mission_timeout | nofade | orders.rdr | materials.rdr | decals.rdr | fonts.rdr | messages.rdr | subtitles.rdr | small_messages.rdr | mpconfig.rdr | character.rdr | ai_turrets.rdr | data/common | readerc.zar,One-time construction/init of singleton at 0x004D4880; called during application startup at 0x00140658.
