Key,Name,Description,ID,TYPE,SingleMode,BurstMode,AutoMode,AmmoCapacity,NumMags,LegAmmoLen,LegAmmo0,SoundRadius,ImpactRadius,MaxRange,EffectiveRange,MuzzleVelocity,FireWait,NumZoomModes,ZoomMode0,ZoomMode1,ZoomMode2,ModelName,IconTextureName,FireAnimName,HitAnimName,AssociatedGearName,ReloadSound,ReloadTime,ReloadAfterShot
WEP29,M87ELR,M87ELR,103,1,1,,,10,3,1,.50 Cal,600.0,25.0,2400.0,1800.0,853.0,0.7,3,1.5,8.0,16.0,mcmillanM87,mcmillanM87_icon.tif,muzzle_McMillan,bullet_hit,NONE,SND_MODEL_700_REMINGTON_RELOAD,0.0,1
WEP30,SR-25 SD,SR-25 SD,105,1,1,,,20,3,1,7.62 x 51mm,4.0,20.0,1500.0,1100.0,853.0,0.15,2,1.5,8.0,,stoner_sr25,stoner_sr25_icon.tif,muzzle_stoner_SR25SD,bullet_hit,NONE,SND_SR25_SILENCED_RELOAD,0.0,
WEP31,SR-25,SR-25,106,1,1,,,20,3,1,7.62 x 51mm,500.0,15.0,1700.0,1200.0,853.0,0.15,2,1.5,8.0,,stoner_sr25,stoner_sr25_icon.tif,muzzle_stoner_SR25,bullet_hit,NONE,SND_SR25_RELOAD,0.0,
WEP32,Knife,KNIFE,186,0,1,,,0,0,0,,1.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,placeholder,knife_icon.tif,NOT FOUND,bullet_hit,seal_scuba_knife,SND_M4_A1_RELOAD,0.0,
WEP33,Flashlight,FLASHLIGHT,181,0,1,,,0,0,0,,0.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,placeholder,flashlight.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP34,Detonator,DETONATOR,187,0,1,,,0,0,0,,0.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,detonator,detonator_icon.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP35,Binoculars,BINOCULARS,182,0,1,,,0,0,0,,0.0,40.0,0.0,0.0,0.0,0.1,2,1.5,12.0,,placeholder,binoculars01.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP36,Restraints,RESTRAINTS,183,0,1,,,0,0,0,,0.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,placeholder,restraints_icon.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP37,M67,FRAG,121,3,1,,,6,1,1,M67 Ammo,700.0,45.0,10000.0,40.0,0.1,0.1,1,1.5,,,grenade,grenade_frag_icon.tif,frag_start,grenade_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP38,HE,HE GRENADE,126,3,1,,,6,1,1,HE Grenade Ammo,650.0,40.0,10000.0,40.0,0.1,0.1,1,1.5,,,HEgrenade,grenade_he_icon.tif,HE_start,grenade_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP39,AN-M8,SMOKE,122,3,1,,,3,1,1,AN-M8 Ammo,3.0,40.0,10000.0,30.0,0.1,0.1,1,1.5,,,a_smoke_grenade,grenade_smoke_icon.tif,smoke_grenade_start,grenade_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP40,Mark141,FLASHBANG,123,3,1,,,6,1,1,Mark141 Ammo,10.0,40.0,10000.0,30.0,0.1,0.1,1,1.5,,,flashbang,grenade_flashbang_icon.tif,flashbang_start,grenade_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP41,Satchel,SATCHEL,152,3,1,1,1,1,1,1,Satchel Charge Ammo,700.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,Satchel,satchel_charge.tif,satchel_start,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP42,Claymore,CLAYMORE,153,3,1,1,1,4,1,1,Claymore Ammo,800.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,claymore,claymore_icon.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP43,C4,C4,151,3,1,,,4,1,1,C4 Ammo,600.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,c4,c4.tif,c4_start,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP44,MPBOMB,placeholder,154,3,1,,,1,1,1,MPBOMB Ammo,1.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,footbomb,satchel_charge.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP45,M203,placeholder,141,0,1,,,0,0,0,,3.0,40.0,1200.0,350.0,921.0,2.0,1,1.5,,,(null),(null),muzzle_m203,NOT FOUND,NONE,SND_M203_G_LAUNCHER_RELOAD,0.0,
WEP46,M203 HE,203 HE,171,0,1,,,6,1,1,M203 HE Ammo,200.0,40.0,10000.0,350.0,27.0,1.0,1,1.5,,,(null),firemode_203_he.tif,m203he_start,HE_grenade,NONE,SND_M203_G_LAUNCHER_RELOAD,0.0,1
WEP47,M203 FRAG,203 FRAG,175,0,1,,,6,1,1,M203 FRAG Ammo,200.0,40.0,10000.0,350.0,27.0,1.0,1,1.5,,,(null),firemode_203_frag.tif,m203he_start,frag_grenade,NONE,SND_M203_G_LAUNCHER_RELOAD,0.0,1
WEP48,M203 SMOKE,203 SMOKE,173,0,1,,,3,1,1,M203 SMOKE Ammo,3.0,15.0,10000.0,350.0,27.0,1.0,1,1.5,,,(null),firemode_203_smoke.tif,m203smoke_grenade_start,NOT FOUND,NONE,SND_M203_G_LAUNCHER_RELOAD,0.0,1
WEP49,MGL,MGL,142,1,,,,6,2,0,,3.0,40.0,1200.0,350.0,921.0,0.25,1,1.5,,,mglmk1,mglmk1_icon.tif,muzzle_m203,NOT FOUND,NONE,SND_M203_G_LAUNCHER_RELOAD ,0.0,
WEP50,M79,M79,143,1,,,,6,1,0,,3.0,40.0,1200.0,350.0,921.0,1.5,1,1.5,,,m79,m79_icon.tif,muzzle_m203,NOT FOUND,NONE,SND_M79_G_LAUNCHER_RELOAD,0.0,
WEP51,GL HE,M79 HE,176,0,1,,,6,1,1,GL HE Ammo,200.0,40.0,10000.0,350.0,40.0,0.1,1,1.5,,,(null),firemode_203_he.tif,m203he_start,HE_grenade,NONE,SND_M79_G_LAUNCHER_RELOAD,0.0,1
WEP52,GL FRAG,M79 FRAG,179,0,1,,,6,1,1,GL Frag Ammo,200.0,40.0,10000.0,350.0,40.0,0.1,1,1.5,,,(null),firemode_203_frag.tif,m203he_start,HE_grenade,NONE,SND_M79_G_LAUNCHER_RELOAD,0.0,1
WEP53,GL SMOKE,M79 SMOKE,178,0,1,,,3,1,1,GL Smoke Ammo,3.0,40.0,10000.0,350.0,40.0,0.1,1,1.5,,,(null),firemode_203_smoke.tif,m203smoke_grenade_start,NOT FOUND,NONE,SND_M79_G_LAUNCHER_RELOAD,0.0,1
WEP54,Kevlar Armor,placeholder,201,0,1,,,0,0,0,,0.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,(null),(null),NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP55,Kevlar Armor with inserts,placeholder,202,0,1,,,0,0,0,,0.0,40.0,10000.0,1000.0,40.0,0.1,1,1.5,,,(null),(null),NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP56,Double Ammo Load,2X AMMO,188,0,1,,,0,0,0,,0.0,40.0,10000.0,1000.0,40.0,0.1,1,1.5,,,(null),double_ammo_icon.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP57,air_to_ground_missile,placeholder,155,3,1,,,6,1,1,ag_missile,3.0,40.0,10000.0,40.0,0.0,0.1,1,1.5,,,grenade,(null),grenade_start,grenade_hit,NONE,SND_M4_A1_RELOAD,0.0,
WEP58,exploding_fuel,placeholder,156,3,1,,,6,1,1,explosive_stuff,3.0,40.0,10000.0,40.0,0.0,0.1,1,1.5,,,null,(null),NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
WEP59,Satchel Explosion,SATCHEL,157,3,1,1,1,1,1,1,Satchel Charge Ammo,700.0,40.0,0.0,0.0,0.0,0.1,1,1.5,,,Satchel,satchel_charge.tif,NOT FOUND,NOT FOUND,NONE,SND_M4_A1_RELOAD,0.0,
